year,km_driven,owner,brand,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,transmission_Automatic,transmission_Manual,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer
2007,0.0867830071485424,1,0.46,0,0,0,1,0,1,0,1,0
2007,0.06198750802754284,1,0.46,0,0,0,1,0,1,0,1,0
2012,0.12397625583004174,1,0.17,0,1,0,0,0,1,0,1,0
2017,0.05702840820334293,1,0.07,0,0,0,1,0,1,0,1,0
2014,0.1748070290280908,2,0.03,0,1,0,0,0,1,0,1,0
2007,0.15497062973129117,1,0.46,0,0,0,1,0,1,0,1,0
2016,0.030993134126293394,1,0.17,0,0,0,1,0,1,0,1,0
2014,0.07438525758804262,2,0.09,0,0,0,1,0,1,0,1,0
2015,0.030993134126293394,1,0.17,0,0,0,1,0,1,0,1,0
2017,0.09670120679694222,1,0.46,1,0,0,0,0,1,0,1,0
2015,0.043390883686793176,1,0.07,0,0,0,1,0,1,0,1,0
2014,0.12397625583004174,1,0.09,0,0,0,1,0,1,0,1,0
2018,0.030993134126293394,1,0.04,0,0,0,1,1,0,1,0,0
2007,0.0867830071485424,1,0.46,0,0,0,1,0,1,0,1,0
2007,0.06198750802754284,1,0.46,0,0,0,1,0,1,0,1,0
2012,0.12397625583004174,1,0.17,0,1,0,0,0,1,0,1,0
2017,0.05702840820334293,1,0.07,0,0,0,1,0,1,0,1,0
2014,0.1748070290280908,2,0.03,0,1,0,0,0,1,0,1,0
2007,0.15497062973129117,1,0.46,0,0,0,1,0,1,0,1,0
2016,0.030993134126293394,1,0.17,0,0,0,1,0,1,0,1,0
2014,0.07438525758804262,2,0.09,0,0,0,1,0,1,0,1,0
2015,0.030993134126293394,1,0.17,0,0,0,1,0,1,0,1,0
2017,0.09670120679694222,1,0.46,1,0,0,0,0,1,0,1,0
2015,0.043390883686793176,1,0.07,0,0,0,1,0,1,0,1,0
2014,0.12397625583004174,1,0.09,0,0,0,1,0,1,0,1,0
2018,0.030993134126293394,1,0.04,0,0,0,1,1,0,1,0,0
2015,0.029753359170243417,1,0.46,0,0,0,1,0,1,1,0,0
2019,0.006197635005293839,1,0.17,0,1,0,0,0,1,1,0,0
2013,0.04091133377469322,2,0.07,0,1,0,0,0,1,0,1,0
2014,0.03471245899444333,1,0.07,0,1,0,0,1,0,1,0,0
2013,0.07314548263199264,1,0.07,0,1,0,0,1,0,1,0,0
2018,0.00557774752726885,1,0.46,0,1,0,0,1,0,1,0,0
2011,0.21807517499423504,1,0.07,0,1,0,0,1,0,1,0,0
2018,0.01797549708776863,1,0.03,0,0,0,1,0,1,1,0,0
2018,0.018595384565793616,1,0.09,0,0,0,1,0,1,0,1,0
2013,0.06198750802754284,1,0.07,0,1,0,0,1,0,1,0,0
2012,0.0419031537395332,2,0.07,0,1,0,0,1,0,1,0,0
2011,0.16166541449396105,2,0.07,0,1,0,0,1,0,1,0,0
2016,0.06198750802754284,1,0.04,0,0,0,1,1,0,0,1,0
2015,0.09918075670904218,1,0.04,0,1,0,0,0,1,0,1,0
2019,0.012396509785543727,1,0.07,0,0,0,1,0,1,0,1,0
2010,0.14753197999499132,1,0.07,0,0,0,1,1,0,1,0,0
2014,0.07438525758804262,4,0.17,0,0,0,1,0,1,0,1,0
2013,0.09397370189363227,2,0.07,0,1,0,0,1,0,1,0,0
2009,0.09670120679694222,3,0.07,0,1,0,0,1,0,1,0,0
2012,0.04958975846704306,1,0.17,0,1,0,0,0,1,0,1,0
2014,0.06198750802754284,1,0.05,0,1,0,0,0,1,0,1,0
2014,0.09174210697274231,2,0.03,0,1,0,0,0,1,0,1,0
2014,0.07934435741224254,2,0.46,0,0,0,1,0,1,0,1,0
2012,0.07438525758804262,2,0.46,0,0,0,1,0,1,0,1,0
2009,0.14877175495104128,2,0.05,0,1,0,0,0,1,0,1,0
2009,0.09794098175299219,3,0.17,0,0,0,1,0,1,0,1,0
2019,0.018595384565793616,1,0.17,0,0,0,1,0,1,0,1,0
2006,0.09918075670904218,1,0.46,0,0,0,1,0,1,0,1,0
2017,0.02293459691196854,1,0.46,0,1,0,0,0,1,1,0,0
2018,0.012644464776753723,1,0.46,0,0,0,1,0,1,1,0,0
2018,0.03595223395049331,1,0.17,0,1,0,0,0,1,1,0,0
2018,0.03471245899444333,1,0.46,0,0,0,1,0,1,1,0,0
2016,0.05702840820334293,1,0.46,0,1,0,0,0,1,1,0,0
2014,0.0867830071485424,1,0.17,0,1,0,0,0,1,1,0,0
2012,0.07438525758804262,2,0.46,0,0,0,1,0,1,0,1,0
1996,0.043390883686793176,2,0.05,0,1,0,0,0,1,0,1,0
2014,0.11157850626954195,1,0.03,0,1,0,0,0,1,1,0,0
2013,0.09918075670904218,1,0.46,0,0,0,1,0,1,1,0,0
2005,0.09918075670904218,1,0.09,0,1,0,0,0,1,0,1,0
2014,0.09087426450350733,2,0.17,0,0,0,1,0,1,1,0,0
